id,sentiment_manual
126415614616154112,positive
126404574230740992,positive
126402758403305472,positive
126397179614068736,positive
126395626979196928,positive
126394830791254016,positive
126379685453119488,positive
126377656416612352,positive
126373779483004928,positive
126366353757179904,positive
126366123368267776,positive
126365858481188864,positive
126360935509135360,positive
126360398885687296,positive
126358340220616704,positive
126357982685569024,positive
126352268705538048,positive
126350302113824768,positive
126349695676203008,positive
126342268603998208,positive
126325800080392192,positive
126324177501302784,positive
126323785145126912,positive
126322063332999168,positive
126319186141130752,positive
126318009647235072,positive
126315223060709376,positive
126315011600678912,positive
126314687116750848,positive
126312877916307456,positive
126311981564178432,positive
126307801046847488,positive
126302673820594176,positive
126301956951117824,positive
126287654093471744,positive
126284506360578048,positive
126263834968211456,positive
126256230397259776,positive
126213333123743744,positive
126195522691280896,positive
126183339945234432,positive
126180209501286400,positive
126164430546403328,positive
126148685737361408,positive
126140794078892032,positive
126134400466419712,positive
126130991365500928,positive
126116898051076096,positive
126116614495154176,positive
126112836219973632,positive
126107965991297024,positive
126104732426186752,positive
126097426493878272,positive
126095744531832832,positive
126084907343691776,positive
126079414986485760,positive
126076743613284352,positive
126076238375817216,positive
126075534894571520,positive
126064519943426048,positive
126063569660936192,positive
126063358037340160,positive
126059405941809152,positive
126059399319003136,positive
126057030996852736,positive
126049183865114624,positive
126040352237961216,positive
126040074595999744,positive
126034495991328768,positive
126026756623831040,positive
126019393460244480,positive
126015087386431488,positive
126009748020658176,positive
126008369562652672,positive
126002597063696384,positive
125999676972470272,positive
125995158679461888,positive
125978568726560768,positive
125974505385500672,positive
125960325437722624,positive
125959059957485568,positive
125947912306954240,positive
125947232359948288,positive
125943290288803840,positive
125940394566483968,positive
125925618486489088,positive
125924446430183424,positive
125922999651139584,positive
125909565031198720,positive
125902301931126784,positive
125901202591461376,positive
125900497327636480,positive
125898611572740096,positive
125850288488841216,positive
125840039031738368,positive
125794931439702016,positive
125728717942161408,positive
125727629012770816,positive
125722746100531200,positive
125717622728818688,positive
125714253452812288,positive
125713935344214016,positive
125712433087123456,positive
125708639607599104,positive
125706813583798272,positive
125701161926930432,positive
125699573799845888,positive
125688922410975232,positive
125681742760771584,positive
125680049478316032,positive
125677424565424128,positive
125673004511412224,positive
125667241978114048,positive
125664375364255744,positive
125662399217930240,positive
125652668080336896,positive
125648027045199872,positive
125645258003464192,positive
125643107260829696,positive
125633677597229056,positive
125633065757310976,positive
125628199269961728,positive
125623745284018176,positive
125618466353983488,positive
125610372727193600,positive
125608381431025664,positive
125596541028282368,positive
125585606100267008,positive
125562428200202240,positive
125561950376701952,positive
125550135911518208,positive
125547297072357376,positive
125539788546781184,positive
125537993942515712,positive
125537578974851072,positive
125524107386302464,positive
125523414298533888,positive
125501576952553472,positive
125501281753251840,positive
125495491701125120,positive
125459338524499968,positive
125455260801179648,positive
125423290767507456,positive
125416879035658240,positive
125407532893224960,positive
125402636764712960,positive
125402412147146752,positive
125393816470568960,positive
125356807626559488,positive
125343429289984000,positive
125338216411828224,positive
125333598197911552,positive
125330595302744064,positive
125319163366473728,positive
125313088160411648,positive
125309946723188736,positive
125281706327552000,positive
125279987254300672,positive
125264731035537408,positive
125256305647693824,positive
125252188065902592,positive
125243911538098176,positive
125238017299451904,positive
125165176772247552,positive
126418790706712576,negative
126417285559762944,negative
126416915664084992,negative
126416109212680192,negative
126411162622496768,negative
126410591949697024,negative
126409696553861120,negative
126408864387182592,negative
126408052525105152,negative
126407767132078080,negative
126405405667627008,negative
126405185630253056,negative
126405040809312256,negative
126400637930979328,negative
126394680903614464,negative
126393717421645824,negative
126393204550537216,negative
126392402083708928,negative
126391082308206592,negative
126389218284015616,negative
126388194194362368,negative
126388023725268992,negative
126385036441296896,negative
126382959711358976,negative
126382051661328384,negative
126381519513194496,negative
126380588822298624,negative
126380553464315904,negative
126377298650861568,negative
126375381249966080,negative
126372694118768640,negative
126372040696541184,negative
126363154837020672,negative
126361483432038400,negative
126358781633368064,negative
126358301393956864,negative
126358272084152320,negative
126357580741226496,negative
126357227727626240,negative
126354628999778304,negative
126351972948393984,negative
126348169826148352,negative
126344426854416384,negative
126343931117047808,negative
126343679785959424,negative
126343214805426176,negative
126334597431697408,negative
126331480233353216,negative
126331327271284736,negative
126327808803880960,negative
126325125749542912,negative
126324573384871936,negative
126324389741473792,negative
126324077513293824,negative
126321169468100608,negative
126320033369563136,negative
126310645443461120,negative
126309616391950336,negative
126307071984545792,negative
126302386644975616,negative
126299379832336384,negative
126297326565330944,negative
126292335540699136,negative
126286814578348032,negative
126283602571964416,negative
126281019476291584,negative
126280555980529664,negative
126279811151831040,negative
126258214412091392,negative
126257645282799616,negative
126251052667375616,negative
126247557339947008,negative
126243680129523712,negative
126240605419487232,negative
126238223537152000,negative
126221894126022656,negative
126189036644728832,negative
126188946974720000,negative
126188717902802944,negative
126188686453907456,negative
126182880123695104,negative
126167083334643712,negative
126163315499081728,negative
126163250172801024,negative
126158846375903232,negative
126155291288023040,negative
126153311521996800,negative
126148955217203200,negative
126148565302128640,negative
126143926523539456,negative
126141077131497472,negative
126132919117938688,negative
126131535211536384,negative
126129938247061504,negative
126129582326816768,negative
126128599030956032,negative
126127465155403776,negative
126126605344047104,negative
126121175926571008,negative
126118222746497024,negative
126106964420857856,negative
126099775417364480,negative
126096173198082048,negative
126094194312876032,negative
126089287660863488,negative
126088404084588544,negative
126085893353250816,negative
126084068298334208,negative
126082198720888832,negative
126082123743502336,negative
126079672386723840,negative
126075115686465536,negative
126073520504569856,negative
126072901144281088,negative
126069614181486592,negative
126068917012668416,negative
126063215842037760,negative
126054048972537856,negative
126053722966069248,negative
126050114518261760,negative
126044756320075776,negative
126044425964109824,negative
126037831301869568,negative
126036793970786304,negative
126034507475337216,negative
126031969166434304,negative
126030936084189184,negative
126029733325582336,negative
126021108641181696,negative
126018120983904256,negative
126016585348558848,negative
126014999444467712,negative
126014540721827840,negative
126012822936231936,negative
126008913400303616,negative
126006116168642560,negative
126003967552524288,negative
126001775626031104,negative
126001635162992640,negative
125999655011098624,negative
125996379913986048,negative
125995264325599232,negative
125994965183635456,negative
125994596336533504,negative
125989051101741056,negative
125987979784224768,negative
125987439692099584,negative
125982320917364736,negative
125980659415138304,negative
125978454146551808,negative
125976113657823232,negative
125974886006005760,negative
125974810021998592,negative
125974351035117568,negative
125973390283653120,negative
125969932285513728,negative
125966385259098112,negative
125965988146585600,negative
125965853769478144,negative
125964314220830720,negative
125963262733991936,negative
125961999791308800,negative
125961793926475776,negative
125960026891362304,negative
125958961269702656,negative
125958368773943296,negative
125956505768960000,negative
125956403574747136,negative
125956319344721920,negative
125954651152592896,negative
125953600861126656,negative
125950557310562304,negative
125945821240885248,negative
125943204943114240,negative
125937228328341504,negative
125930406125117440,negative
125929899071516672,negative
125929395264299008,negative
125920912171216896,negative
125876542600519680,negative
125863232249405440,negative
125846659182764032,negative
125845538926112768,negative
125836461936361472,negative
125826259048607744,negative
125824148579692544,negative
125822115155947520,negative
125819194049699840,negative
125815370513793024,negative
125807830363156480,negative
125806568389361664,negative
125806240138928128,negative
125799384976863232,negative
125794703819030528,negative
125731810733867008,negative
125729727653756928,negative
125722107710672896,negative
125717447276904448,negative
125717161531551744,negative
125713100782575616,negative
125712104253702144,negative
125711996074209280,negative
125710089716899840,negative
125708348237680640,negative
125706246056706048,negative
125701785540235264,negative
125691072398639104,negative
125689691927351296,negative
125681375058735104,negative
125681125376000000,negative
125679166015283200,negative
125665094561574912,negative
125664507757461504,negative
125663477573500928,negative
125661140939321344,negative
125659125886623744,negative
125657359841361920,negative
125656559190683648,negative
125654540455378944,negative
125651769261965312,negative
125649285667749888,negative
125645811903250432,negative
125643054190305280,negative
125642742977138688,negative
125641051531784192,negative
125639217090011136,negative
125633065878958080,negative
125631239364427776,negative
125626166492147712,negative
125621144148639744,negative
125607492356018176,negative
125603435440644096,negative
125601235985367040,negative
125599423131697152,negative
125598450090917888,negative
125588202286366720,negative
125586348064247808,negative
125583385895768064,negative
125561930416013312,negative
125556679571025920,negative
125544764203466752,negative
125533730222784512,negative
125521682894041088,negative
125510333078048768,negative
125475953509015552,negative
125471372485992448,negative
125464229577891840,negative
125458395800154112,negative
125442137302110208,negative
125441478951575552,negative
125408962215555072,negative
125408737296003072,negative
125408701166256128,negative
125407447383937024,negative
125406743923671040,negative
125405260650000384,negative
125405005493706752,negative
125404317669785600,negative
125400161886277632,negative
125399780527570944,negative
125394863255588864,negative
125394746452619264,negative
125394663573172224,negative
125371779039502336,negative
125369698840887296,negative
125365852487942144,negative
125365814579826688,negative
125365581170999296,negative
125355869859876864,negative
125355139409252352,negative
125347619072512000,negative
125346783390990336,negative
125341902739484672,negative
125341804857008128,negative
125338210158125056,negative
125336335656558592,negative
125334948017213440,negative
125334519254482944,negative
125333948556521472,negative
125330038248849408,negative
125329867674886144,negative
125327896066785280,negative
125313086465904640,negative
125311989751877632,negative
125309975881977856,negative
125309448108519424,negative
125309427422203904,negative
125307394640199680,negative
125305396842856448,negative
125303217214062592,negative
125302079752384512,negative
125301860256063488,negative
125301393560047616,negative
125301265700892672,negative
125277260872822784,negative
125276004817190912,negative
125271422431014912,negative
125269239207706624,negative
125269161327865856,negative
125267178336419840,negative
125265721281351680,negative
125261285083447296,negative
125247130762883072,negative
125245780192792576,negative
125245104859529216,negative
125236708403970048,negative
125236166151774208,negative
125232266849947648,negative
125230743990444032,negative
125230107580317696,negative
125227837438435328,negative
125224588253741056,negative
125223685194915840,negative
125204228967903232,negative
125202037293064192,negative
125129328446017536,negative
126417484017451008,neutral
126415742177513472,neutral
126415618625912832,neutral
126414657836687360,neutral
126410146703351808,neutral
126409984836763648,neutral
126407959495442432,neutral
126407672521162752,neutral
126407511531192320,neutral
126405911697817600,neutral
126405821482532864,neutral
126405160934178816,neutral
126403530838913024,neutral
126401882766839808,neutral
126400491067416576,neutral
126394795802370048,neutral
126393452324855808,neutral
126389413054910464,neutral
126387460463788032,neutral
126386085164101632,neutral
126384526925639680,neutral
126383125059211264,neutral
126381578975842304,neutral
126380323733909504,neutral
126379730827083776,neutral
126377120023842816,neutral
126375024595705856,neutral
126374630377275392,neutral
126370776013213696,neutral
126368680459251712,neutral
126368285259350016,neutral
126368127524159488,neutral
126364189097865216,neutral
126362867778859008,neutral
126360821419884544,neutral
126360182308618240,neutral
126358012343492608,neutral
126357527196741632,neutral
126353359962775552,neutral
126351669029126144,neutral
126348857071239168,neutral
126347890196103168,neutral
126346633721032704,neutral
126346584068861952,neutral
126343124174901248,neutral
126336867477094400,neutral
126336687382081536,neutral
126331354718801920,neutral
126330974270271488,neutral
126330155441467392,neutral
126329109759524864,neutral
126328424624160768,neutral
126326886354784256,neutral
126325069281624064,neutral
126324621279641600,neutral
126324256236765184,neutral
126323574989520896,neutral
126323533696614400,neutral
126321197062426624,neutral
126320247379730432,neutral
126320076063379456,neutral
126318553031917568,neutral
126316594971422720,neutral
126316179429134336,neutral
126315088641658880,neutral
126311681126187008,neutral
126311223343058944,neutral
126309939961536512,neutral
126308556294205440,neutral
126302918797312000,neutral
126302719882444800,neutral
126301989486342144,neutral
126301301511426048,neutral
126300596633481216,neutral
126300304600866816,neutral
126298592364331008,neutral
126294550535872512,neutral
126294304628019200,neutral
126293879166205952,neutral
126292279009882112,neutral
126292109727768576,neutral
126291860305100800,neutral
126290154737504256,neutral
126289716097196032,neutral
126283761754185728,neutral
126283639959990272,neutral
126283441657495552,neutral
126283440457912320,neutral
126283024278110208,neutral
126281432644595712,neutral
126280507729260544,neutral
126279672433614848,neutral
126277810431074304,neutral
126272713332506624,neutral
126267746739699712,neutral
126257394622808064,neutral
126243528832593920,neutral
126232037492404224,neutral
126225922159427584,neutral
126219340214304768,neutral
126218596786511872,neutral
126217194173501440,neutral
126213965817708544,neutral
126211975595311104,neutral
126209902241787904,neutral
126205800359280640,neutral
126201991125929984,neutral
126197405015220224,neutral
126186795808456704,neutral
126185114173583360,neutral
126177221571395584,neutral
126171911523794944,neutral
126165547154018304,neutral
126163403063570432,neutral
126157019072835584,neutral
126149567036137472,neutral
126148184358653952,neutral
126147867478982656,neutral
126146495396319232,neutral
126141631291326464,neutral
126141628372090880,neutral
126141580682854400,neutral
126141157146238976,neutral
126134865887363072,neutral
126130171404230656,neutral
126125830094061568,neutral
126125799744094208,neutral
126125182405447680,neutral
126124917992341504,neutral
126122372775415808,neutral
126118389591711744,neutral
126113944891949056,neutral
126110863550717952,neutral
126110770864979968,neutral
126110374549405696,neutral
126109969912311808,neutral
126107127231152128,neutral
126106914684796928,neutral
126105236229193728,neutral
126105175294357504,neutral
126104490511319040,neutral
126104322999197696,neutral
126104244402126848,neutral
126102037057388544,neutral
126098699196698624,neutral
126095965391298560,neutral
126094392183357440,neutral
126094029015355392,neutral
126094027140513792,neutral
126091878469869568,neutral
126089815136538624,neutral
126089347639427072,neutral
126087892580827136,neutral
126086553415057408,neutral
126081812236738560,neutral
126079649959772160,neutral
126078565346312192,neutral
126073142107045888,neutral
126072051118260224,neutral
126071173640499200,neutral
126068964685135872,neutral
126066994008162304,neutral
126066452787773440,neutral
126065983138955264,neutral
126065529684369408,neutral
126061182720278528,neutral
126057389333020672,neutral
126056940060155904,neutral
126055880394420224,neutral
126054998080622592,neutral
126054145617694720,neutral
126052649475915776,neutral
126051375422504960,neutral
126049560878526464,neutral
126044185815040000,neutral
126044055644807168,neutral
126042506717704192,neutral
126041773356232704,neutral
126041570876203008,neutral
126040050441011200,neutral
126031463647944704,neutral
126030091892432896,neutral
126022527578406912,neutral
126021436149211136,neutral
126019432194650112,neutral
126018538531061760,neutral
126017643747606528,neutral
126016494701256704,neutral
126016405085757440,neutral
126014643826208768,neutral
126014214467895296,neutral
126014102379302912,neutral
126013626426466304,neutral
126012833128390656,neutral
126012515019784192,neutral
126012034545496064,neutral
126012004312956928,neutral
126011120694726656,neutral
126010471202566144,neutral
126009386022879232,neutral
126008776322064384,neutral
126007705600135168,neutral
126006572420833280,neutral
126006349959135232,neutral
126004552557273088,neutral
126003746135224320,neutral
126003567315255296,neutral
126001989309054976,neutral
126001758853009408,neutral
126000843798491136,neutral
125999022908510208,neutral
125998732046123008,neutral
125996412252078080,neutral
125996330500890624,neutral
125994997609803776,neutral
125994518989385728,neutral
125993702782025728,neutral
125993105722839040,neutral
125992838910586880,neutral
125992594395250688,neutral
125991449455104000,neutral
125990236743405568,neutral
125990217801940992,neutral
125989605634879488,neutral
125989196132388864,neutral
125989009091592192,neutral
125988775548559360,neutral
125988651426512896,neutral
125984350989860864,neutral
125983179877253120,neutral
125980918220464128,neutral
125980676653723648,neutral
125980615664336896,neutral
125979228452818944,neutral
125978290367381504,neutral
125975779447291904,neutral
125974955983769600,neutral
125972882240188416,neutral
125969677997453312,neutral
125969128514260992,neutral
125967560171720704,neutral
125967126912712704,neutral
125965569659895808,neutral
125963773176582144,neutral
125962667541270528,neutral
125962608519036928,neutral
125961033348153344,neutral
125960438981734400,neutral
125958702455988224,neutral
125958525708021760,neutral
125958117086347264,neutral
125957972466737152,neutral
125957965109932032,neutral
125951303770845184,neutral
125950941349421056,neutral
125950505389273088,neutral
125950026181648384,neutral
125949784677810176,neutral
125948450620702720,neutral
125944856504827904,neutral
125944293671182336,neutral
125943115449253888,neutral
125943078837161984,neutral
125943020767019008,neutral
125940398915977216,neutral
125940300987371520,neutral
125939862078619648,neutral
125939833775460352,neutral
125938918540574720,neutral
125938325151432704,neutral
125936985796919296,neutral
125936323273048064,neutral
125935636300570624,neutral
125935627056324608,neutral
125935503752171520,neutral
125935314878476288,neutral
125933630613766144,neutral
125932876721168384,neutral
125930342891790336,neutral
125930143066759168,neutral
125930002607906816,neutral
125927540249473024,neutral
125927536847880192,neutral
125927533614084096,neutral
125927530761953280,neutral
125927399010467840,neutral
125927174514540544,neutral
125927032185044992,neutral
125926624930693120,neutral
125922989844856832,neutral
125922500839342080,neutral
125922174648324096,neutral
125921393350160384,neutral
125920729194704896,neutral
125920725595983872,neutral
125920721200361472,neutral
125920717966544896,neutral
125920716297211904,neutral
125919221845721088,neutral
125918906215968768,neutral
125918450920062976,neutral
125918447979872256,neutral
125918444762828800,neutral
125918441013133312,neutral
125917264267579392,neutral
125917174618525696,neutral
125917170571026432,neutral
125917164535418880,neutral
125917160982855680,neutral
125915210337890304,neutral
125908946702696448,neutral
125907633466130432,neutral
125892140940267520,neutral
125891898517889024,neutral
125887065861787648,neutral
125882473312817152,neutral
125878880916611072,neutral
125866627337162752,neutral
125866368758333440,neutral
125859792802693120,neutral
125859488728236032,neutral
125854430171111424,neutral
125840474132066304,neutral
125830917578162176,neutral
125829040740368384,neutral
125828984293425152,neutral
125826820057731072,neutral
125824709421039616,neutral
125823389804929024,neutral
125821979797364736,neutral
125821218258550784,neutral
125817967240949760,neutral
125815990620659712,neutral
125811943054393344,neutral
125807897568481280,neutral
125804983185719296,neutral
125803571601080320,neutral
125803457155301376,neutral
125801811817922560,neutral
125793487479259136,neutral
125792596114161664,neutral
125792107930714112,neutral
125727869363163136,neutral
125727349034598400,neutral
125727044263874560,neutral
125726769297891328,neutral
125725274317914112,neutral
125721197437648896,neutral
125708425752612864,neutral
125703536632807424,neutral
125698733768843264,neutral
125695449423286272,neutral
125695107734319104,neutral
125694587313467392,neutral
125692890474233856,neutral
125692845054115840,neutral
125691975474229248,neutral
125690764331196416,neutral
125689905954299904,neutral
125687710705926144,neutral
125686643960193024,neutral
125685016389894144,neutral
125679996420374528,neutral
125677838295764992,neutral
125674121722998784,neutral
125669834922008576,neutral
125667332931596288,neutral
125666909080387584,neutral
125665930339565568,neutral
125664999036301312,neutral
125664891691474944,neutral
125663967296229376,neutral
125661036891226112,neutral
125660067482697728,neutral
125657950185463808,neutral
125647236418912256,neutral
125645376790331392,neutral
125642256114909184,neutral
125642161659199488,neutral
125642041140060160,neutral
125640758966484992,neutral
125640679325052928,neutral
125640515021578240,neutral
125638955952640000,neutral
125633549847117824,neutral
125633468708302848,neutral
125633233982459904,neutral
125632582795804672,neutral
125631556051140608,neutral
125630955154190336,neutral
125630836245676032,neutral
125630016485732352,neutral
125629788563050496,neutral
125627732032888832,neutral
125626286939979776,neutral
125625630254567424,neutral
125625566203346944,neutral
125620113582993408,neutral
125617451705712640,neutral
125617133123153920,neutral
125616747863736320,neutral
125614951787266048,neutral
125614910804738048,neutral
125598495137726464,neutral
125596991290998784,neutral
125595669145722880,neutral
125595441562783744,neutral
125591434056318976,neutral
125589884445536256,neutral
125589258898644992,neutral
125588749454278656,neutral
125588587180863488,neutral
125587186723725312,neutral
125586682790674432,neutral
125583717354831872,neutral
125581507355086848,neutral
125581280430669824,neutral
125564573167263744,neutral
125546017205665792,neutral
125545914864640000,neutral
125544363945230336,neutral
125541112491425792,neutral
125537487455137792,neutral
125528344480587776,neutral
125527718203887616,neutral
125512197135806464,neutral
125498684401135616,neutral
125496516000485376,neutral
125493419522002944,neutral
125493125098635264,neutral
125489264157917184,neutral
125486845768368128,neutral
125460019859820544,neutral
125457535951060992,neutral
125448837404954624,neutral
125433354488254464,neutral
125432626482917376,neutral
125432518324400128,neutral
125425087800291328,neutral
125424738662223872,neutral
125419216227667968,neutral
125417324621737984,neutral
125416866243018752,neutral
125416811490578432,neutral
125410153196560384,neutral
125409201907437568,neutral
125406528487424000,neutral
125406003863883776,neutral
125405939015757824,neutral
125402652610797568,neutral
125398913313284096,neutral
125398813543374848,neutral
125394805449699328,neutral
125379023307153408,neutral
125373658389692416,neutral
125373427661029376,neutral
125372628746768384,neutral
125369026351349760,neutral
125368381728763904,neutral
125367492976717824,neutral
125366519680086016,neutral
125364154629492736,neutral
125361209137565696,neutral
125360952878182400,neutral
125360877359742976,neutral
125359697770450944,neutral
125359622193295360,neutral
125357901580746752,neutral
125351067620880384,neutral
125350537821569024,neutral
125347828754169856,neutral
125345723020607488,neutral
125344722196766720,neutral
125344351218974720,neutral
125336929825849344,neutral
125336798690942976,neutral
125335012961828864,neutral
125332871174037504,neutral
125332609428496384,neutral
125327281181835264,neutral
125326760769372160,neutral
125325397712846848,neutral
125324916009615360,neutral
125321084525490176,neutral
125318029390249984,neutral
125317541504626688,neutral
125317300860620800,neutral
125315460030922752,neutral
125315263183851520,neutral
125315080081518592,neutral
125312357797863424,neutral
125309663913840640,neutral
125305567148388352,neutral
125300705836793856,neutral
125300603059576832,neutral
125283873331494912,neutral
125281502866059264,neutral
125278676949544960,neutral
125276525472911360,neutral
125275795252977664,neutral
125275280678993920,neutral
125273317673414656,neutral
125270965268643840,neutral
125267017942052864,neutral
125266503657472000,neutral
125261029834899456,neutral
125260105154437120,neutral
125257803790159872,neutral
125252442836320256,neutral
125250721280040960,neutral
125250617911418880,neutral
125250078108684288,neutral
125246898830458880,neutral
125245892814045184,neutral
125244798671142912,neutral
125231250247135232,neutral
125222749034659840,neutral
125218106778992640,neutral
125211793655218176,neutral
125196751387889664,neutral
125193298624258048,neutral
125184976579862528,neutral
125085987431923712,neutral
126534770095169536,positive
126534201880219648,positive
126534020367519744,positive
126533948925952000,positive
126533885109600256,positive
126533562781544448,positive
126533349727666176,positive
126533268119109632,positive
126533166352699392,positive
126532897715929088,positive
126531552367751168,positive
126531180907601920,positive
126530945976238080,positive
126530924576907264,positive
126530807891374080,positive
126530189579649024,positive
126530027939569664,positive
126529770778411008,positive
126528982807089152,positive
126528978239496192,positive
126528804192653312,positive
126528264117293056,positive
126526219587039232,positive
126525469897146368,positive
126525368860540928,positive
126525172969766912,positive
126524301259194368,positive
126523731710443520,positive
126523530903953408,positive
126523525598162944,positive
126522990585315328,positive
126522810821644288,positive
126522714713370624,positive
126522621251682304,positive
126522262768726016,positive
126521286053724160,positive
126520029410885632,positive
126519483752914944,positive
126519329025040384,positive
126519123772588032,positive
126519017405030400,positive
126518882939838464,positive
126516914678808576,positive
126516779886456832,positive
126516304336257024,positive
126515760855134208,positive
126514474378203136,positive
126513620686352384,positive
126513526385819648,positive
126513425043030016,positive
126512728297844736,positive
126512631937904640,positive
126512208451600384,positive
126511545160171520,positive
126511426926944256,positive
126511000907288576,positive
126510977335300096,positive
126510551789604864,positive
126509929619132416,positive
126509528287166464,positive
126508393203642368,positive
126507456019968000,positive
126506850781888512,positive
126506410195431424,positive
126506064387637248,positive
126505384428052480,positive
126505187752943616,positive
126505144878772224,positive
126504782465732608,positive
126504452680187904,positive
126504346639802368,positive
126504216004005888,positive
126504013939216384,positive
126503946092158976,positive
126503805369069568,positive
126503790412181504,positive
126503029548654592,positive
126502415322193920,positive
126502014560649216,positive
126501732443361280,positive
126501468902658048,positive
126500614552289280,positive
126499965869625344,positive
126499581520384000,positive
126499428965158912,positive
126499145014980608,positive
126499143282737152,positive
126498734409396224,positive
126498608815149056,positive
126498587499696128,positive
126497976314109952,positive
126497860752646144,positive
126497655785402368,positive
126496772586610688,positive
126496739531304960,positive
126496342901133312,positive
126496262668292096,positive
126496155856142336,positive
126496005809127424,positive
126495843116265472,positive
126495812724338688,positive
126495283176685568,positive
126494976396898304,positive
126494883367235584,positive
126494838689513472,positive
126494645281755136,positive
126494573966016512,positive
126494442290020352,positive
126494344566943744,positive
126494339248562176,positive
126494280318582784,positive
126494221879357440,positive
126494100252925952,positive
126494070385283072,positive
126493889761787904,positive
126493850914131968,positive
126493722916560896,positive
126493648757071872,positive
126493639605092352,positive
126493624270725120,positive
126493538945994752,positive
126493495933403136,positive
126493472931844096,positive
126493405760069632,positive
126493371790397440,positive
126493365775777792,positive
126493265661919232,positive
126493192110612480,positive
